model,seed,accuracy,precision,recall,specificity,f1,auroc,inference_time_ms_per_image
custom_cnn,0.0,0.8108974358974359,0.8541666666666666,0.841025641025641,0.7606837606837606,0.8475452196382429,0.8892395353933815,14.286999358977809
custom_cnn,1.0,0.6522435897435898,0.6439267886855241,0.9923076923076923,0.08547008547008547,0.781029263370333,0.8689129958360727,15.410998397439284
custom_cnn,2.0,0.8060897435897436,0.806378132118451,0.9076923076923077,0.6367521367521367,0.8540410132689988,0.8996712689020383,12.663121314103476
resnet18,0.0,0.8301282051282052,0.7886178861788617,0.9948717948717949,0.5555555555555556,0.8798185941043084,0.9544926583388122,14.87018429487272
resnet18,1.0,0.8108974358974359,0.7709163346613546,0.9923076923076923,0.5085470085470085,0.8677130044843049,0.9456169186938417,15.42347211538515
resnet18,2.0,0.8477564102564102,0.8118393234672304,0.9846153846153847,0.6196581196581197,0.8899188876013905,0.9473044049967126,14.38938814102678
densenet121,0.0,0.8461538461538461,0.8049792531120332,0.9948717948717949,0.5982905982905983,0.8899082568807339,0.9653298268682884,15.67254727564059
densenet121,1.0,0.8573717948717948,0.8155136268343816,0.9974358974358974,0.6239316239316239,0.8973471741637832,0.9734440061363139,16.39017163461176
densenet121,2.0,0.8189102564102564,0.7764471057884231,0.9974358974358974,0.5213675213675214,0.8731762065095399,0.9605413105413105,15.79679535255962
ensemble_resnet18_densenet121,,0.8557692307692307,0.8138075313807531,0.9974358974358974,0.6196581196581197,0.8963133640552995,0.9629903572211264,
